Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
19.03.2020 00:00:00;Salzburg;5;564293;0;54;34;6,025239;0;0;2;3
19.03.2020 00:00:00;Steiermark;6;1256890;5;124;83;6,603601;0;3;0;1
19.03.2020 00:00:00;Tirol;7;766492;14;244;127;16,56899;1;2;1;5
19.03.2020 00:00:00;Vorarlberg;8;403203;2;70;51;12,64872;0;0;0;0
19.03.2020 00:00:00;Wien;9;1951354;3;133;68;3,48476;1;5;0;14
19.03.2020 00:00:00;Österreich;10;9027999;34;1079;672;7,44351;2;12;4;33
20.03.2020 00:00:00;Burgenland;1;299235;0;13;2;0,668371;0;0;0;0
20.03.2020 00:00:00;Kärnten;2;566166;1;30;23;4,062413;0;0;0;2
20.03.2020 00:00:00;Niederösterreich;3;1708140;7;195;113;6,615383;3;4;1;7
20.03.2020 00:00:00;Oberösterreich;4;1512226;2;226;119;7,869194;0;1;1;3
20.03.2020 00:00:00;Salzburg;5;564293;0;54;31;5,4936;0;0;1;4
20.03.2020 00:00:00;Steiermark;6;1256890;3;127;62;4,93281;0;3;0;1
20.03.2020 00:00:00;Tirol;7;766492;34;278;93;12,1332;0;2;0;5
20.03.2020 00:00:00;Vorarlberg;8;403203;0;70;42;10,41659;0;0;0;0
20.03.2020 00:00:00;Wien;9;1951354;6;139;59;3,023542;0;5;2;16
20.03.2020 00:00:00;Österreich;10;9027999;53;1132;544;6,025699;3;15;5;38
21.03.2020 00:00:00;Burgenland;1;299235;1;14;2;0,668371;0;0;0;0
21.03.2020 00:00:00;Kärnten;2;566166;2;32;23;4,062413;2;2;1;3
21.03.2020 00:00:00;Niederösterreich;3;1708140;8;203;91;5,327432;0;4;0;7
21.03.2020 00:00:00;Oberösterreich;4;1512226;2;228;71;4,695065;0;1;0;3
21.03.2020 00:00:00;Salzburg;5;564293;1;55;16;2,835407;0;0;3;7
21.03.2020 00:00:00;Steiermark;6;1256890;1;128;44;3,500704;0;3;0;1
21.03.2020 00:00:00;Tirol;7;766492;64;342;132;17,22132;0;2;2;7
21.03.2020 00:00:00;Vorarlberg;8;403203;0;70;17;4,216238;0;0;0;0
21.03.2020 00:00:00;Wien;9;1951354;3;142;47;2,408584;1;6;3;19
21.03.2020 00:00:00;Österreich;10;9027999;82;1214;443;4,906957;3;18;9;47
22.03.2020 00:00:00;Burgenland;1;299235;1;15;3;1,002557;0;0;0;0
22.03.2020 00:00:00;Kärnten;2;566166;0;32;21;3,70916;0;2;0;3
22.03.2020 00:00:00;Niederösterreich;3;1708140;11;214;61;3,571136;3;7;1;8
22.03.2020 00:00:00;Oberösterreich;4;1512226;2;230;27;1,785447;0;1;0;3
22.03.2020 00:00:00;Salzburg;5;564293;2;57;4;0,7088516;0;0;0;7
22.03.2020 00:00:00;Steiermark;6;1256890;1;129;21;1,670791;0;3;0;1
22.03.2020 00:00:00;Tirol;7;766492;49;391;174;22,70082;1;3;2;9
22.03.2020 00:00:00;Vorarlberg;8;403203;0;70;11;2,728154;0;0;2;2
22.03.2020 00:00:00;Wien;9;1951354;8;150;25;1,281162;0;6;4;23
22.03.2020 00:00:00;Österreich;10;9027999;74;1288;347;3,843598;4;22;9;56
23.03.2020 00:00:00;Burgenland;1;299235;20;35;23;7,686266;0;0;2;2
23.03.2020 00:00:00;Kärnten;2;566166;9;41;21;3,70916;0;2;0;3
23.03.2020 00:00:00;Niederösterreich;3;1708140;45;259;103;6,029951;1;8;6;14
23.03.2020 00:00:00;Oberösterreich;4;1512226;48;278;63;4,166044;0;1;7;10
23.03.2020 00:00:00;Salzburg;5;564293;39;96;43;7,620155;0;0;3;10
23.03.2020 00:00:00;Steiermark;6;1256890;37;166;53;4,216757;1;4;2;3
23.03.2020 00:00:00;Tirol;7;766492;198;589;370;48,27187;3;6;14;23
23.03.2020 00:00:00;Vorarlberg;8;403203;45;115;53;13,14474;0;0;4;6
23.03.2020 00:00:00;Wien;9;1951354;112;262;136;6,96952;3;9;13;36
23.03.2020 00:00:00;Österreich;10;9027999;553;1841;865;9,581304;8;30;51;107
24.03.2020 00:00:00;Burgenland;1;299235;2;37;25;8,354638;0;0;0;2
24.03.2020 00:00:00;Kärnten;2;566166;19;60;36;6,358559;0;2;6;9
24.03.2020 00:00:00;Niederösterreich;3;1708140;89;348;171;10,01089;2;10;15;29
24.03.2020 00:00:00;Oberösterreich;4;1512226;94;372;152;10,05141;1;2;6;16
24.03.2020 00:00:00;Salzburg;5;564293;82;178;125;22,15161;0;0;4;14
24.03.2020 00:00:00;Steiermark;6;1256890;81;247;134;10,66123;1;5;5;8
24.03.2020 00:00:00;Tirol;7;766492;118;707;485;63,27528;3;9;21;44
24.03.2020 00:00:00;Vorarlberg;8;403203;49;164;97;24,05736;0;0;5;11
24.03.2020 00:00:00;Wien;9;1951354;111;373;245;12,55538;1;10;5;41
24.03.2020 00:00:00;Österreich;10;9027999;645;2486;1470;16,28268;8;38;67;174
25.03.2020 00:00:00;Burgenland;1;299235;2;39;27;9,023008;0;0;0;2
25.03.2020 00:00:00;Kärnten;2;566166;11;71;45;7,948199;0;2;1;10
25.03.2020 00:00:00;Niederösterreich;3;1708140;95;443;259;15,16269;2;12;3;32
25.03.2020 00:00:00;Oberösterreich;4;1512226;149;521;299;19,77218;0;2;20;36
25.03.2020 00:00:00;Salzburg;5;564293;64;242;188;33,31602;1;1;3;17
25.03.2020 00:00:00;Steiermark;6;1256890;48;295;176;14,00282;1;6;2;10
25.03.2020 00:00:00;Tirol;7;766492;211;918;688;89,75958;0;9;25;69
25.03.2020 00:00:00;Vorarlberg;8;403203;21;185;117;29,01764;0;0;4;15
25.03.2020 00:00:00;Wien;9;1951354;67;440;310;15,8864;2;12;9;50
25.03.2020 00:00:00;Österreich;10;9027999;668;3154;2109;23,36066;6;44;67;241
26.03.2020 00:00:00;Burgenland;1;299235;29;68;55;18,3802;0;0;2;4
26.03.2020 00:00:00;Kärnten;2;566166;25;96;67;11,83399;0;2;1;11
26.03.2020 00:00:00;Niederösterreich;3;1708140;154;597;409;23,94417;1;13;18;50
26.03.2020 00:00:00;Oberösterreich;4;1512226;143;664;440;29,09618;0;2;6;42
26.03.2020 00:00:00;Salzburg;5;564293;118;360;306;54,22715;0;1;0;17
26.03.2020 00:00:00;Steiermark;6;1256890;102;397;273;21,72028;1;7;2;12
26.03.2020 00:00:00;Tirol;7;766492;201;1119;875;114,1564;3;12;42;111
26.03.2020 00:00:00;Vorarlberg;8;403203;43;228;158;39,18622;1;1;5;20
26.03.2020 00:00:00;Wien;9;1951354;193;633;500;25,62323;3;15;16;66
26.03.2020 00:00:00;Österreich;10;9027999;1008;4162;3083;34,14932;9;53;92;333
27.03.2020 00:00:00;Burgenland;1;299235;24;92;79;26,40066;0;0;4;8
27.03.2020 00:00:00;Kärnten;2;566166;18;114;84;14,83664;0;2;3;14
27.03.2020 00:00:00;Niederösterreich;3;1708140;159;756;561;32,84274;2;15;28;78
27.03.2020 00:00:00;Oberösterreich;4;1512226;114;778;552;36,50248;2;4;27;69
27.03.2020 00:00:00;Salzburg;5;564293;49;409;355;62,91058;1;2;16;33
27.03.2020 00:00:00;Steiermark;6;1256890;65;462;335;26,65309;5;12;8;20
27.03.2020 00:00:00;Tirol;7;766492;168;1287;1009;131,6387;2;14;40;151
27.03.2020 00:00:00;Vorarlberg;8;403203;65;293;223;55,30713;0;1;4;24
27.03.2020 00:00:00;Wien;9;1951354;122;755;616;31,56782;1;16;27;93
27.03.2020 00:00:00;Österreich;10;9027999;784;4946;3814;42,24635;13;66;157;490
